Movie Name,Ratings,Metascores,Votes,Gross
1.Logan(2017),8.1,77,792786,$226.28M
2.Thor:Ragnarok(2017),7.9,74,781317,$315.06M
3.GuardiansoftheGalaxyVol.2(2017),7.6,67,721930,$389.81M
4.Dunkirk(2017),7.8,94,687019,$188.37M
5.Spider-Man:Homecoming(2017),7.4,73,685643,$334.20M
6.WonderWoman(2017),7.4,76,677793,$412.56M
7.StarWars:EpisodeVIII-TheLastJedi(2017),6.9,84,650430,$620.18M
8.GetOut(I)(2017),7.8,85,645451,$176.04M
9.BladeRunner2049(2017),8.0,81,609645,$92.05M
10.It(I)(2017),7.3,69,573340,$327.48M
11.BabyDriver(2017),7.6,86,571427,$107.83M
12.Coco(I)(2017),8.4,81,540895,$209.73M
"13.ThreeBillboardsOutsideEbbing,Missouri(2017)",8.1,88,528930,$54.51M
14.Lacasadepapel(2017–2021),8.2,,499892,
15.JohnWick:Chapter2(2017),7.4,75,483266,$92.03M
16.JusticeLeague(2017),6.1,45,465294,$229.02M
17.TheShapeofWater(2017),7.3,87,433742,$63.86M
18.Dark(2017–2020),8.7,,413052,
19.Jumanji:WelcometotheJungle(2017),6.9,58,399597,$404.52M
20.Kingsman:TheGoldenCircle(2017),6.7,44,345528,$100.23M
21.Kong:SkullIsland(2017),6.6,62,331851,$168.05M
22.Ozark(2017–2022),8.5,,328934,
23.PiratesoftheCaribbean:DeadMenTellNoTales(2017),6.5,39,326978,$172.56M
24.BeautyandtheBeast(I)(2017),7.1,65,321276,$504.01M
25.Mindhunter(2017–2019),8.6,,308991,
26.LadyBird(2017),7.4,93,306346,$48.96M
27.13ReasonsWhy(2017–2020),7.5,,304011,
28.TheGreatestShowman(2017),7.5,48,294757,$174.34M
29.Alien:Covenant(2017),6.4,65,291272,$74.26M
30.CallMebyYourName(2017),7.8,94,290980,$18.10M
31.MurderontheOrientExpress(2017),6.5,52,270107,$102.83M
32.WarforthePlanetoftheApes(2017),7.4,82,268292,$146.88M
33.WindRiver(2017),7.7,73,264291,$33.80M
34.ThePunisher(2017–2019),8.5,,249674,
35.TheHandmaid'sTale(2017–),8.4,,247938,
36.TheFateoftheFurious(2017),6.6,56,244024,$226.01M
37.Life(I)(2017),6.6,54,241119,$30.23M
38.TheHitman'sBodyguard(2017),6.9,47,239195,$75.47M
39.Mother!(2017),6.6,75,237440,$17.80M
"40.I,Tonya(2017)",7.5,77,228824,$30.01M
41.KingArthur:LegendoftheSword(2017),6.7,41,224420,$39.18M
42.GhostintheShell(2017),6.3,52,221516,$40.56M
43.BigLittleLies(2017–2019),8.5,,211769,
44.DarkestHour(2017),7.4,75,210692,$56.47M
45.TheEndoftheF***ingWorld(2017–2019),8.0,,204948,
46.AtomicBlonde(2017),6.7,63,200282,$51.69M
47.TheMummy(2017),5.4,34,197248,$80.10M
48.Bright(I)(2017),6.3,29,195878,
49.AmericanMade(2017),7.1,65,194814,$51.34M
50.Baywatch(2017),5.5,37,194474,$58.06M
51.ValerianandtheCityofaThousandPlanets(2017),6.4,51,189737,$41.19M
52.Molly'sGame(2017),7.4,71,180050,$28.78M
53.Wonder(I)(2017),7.9,66,171309,$132.42M
54.TheKillingofaSacredDeer(2017),7.0,73,165704,$2.29M
55.TheLegoBatmanMovie(2017),7.3,75,162499,$175.75M
56.Transformers:TheLastKnight(2017),5.2,27,160683,$130.17M
57.TheDisasterArtist(2017),7.3,76,159392,$21.12M
58.ThePost(2017),7.2,83,156963,$81.90M
59.LoganLucky(2017),7.0,78,155927,$27.78M
60.HappyDeathDay(2017),6.6,58,152499,$55.68M
61.Riverdale(2017–2023),6.5,,149681,
62.DespicableMe3(2017),6.2,49,143989,$264.62M
63.Taboo(2017),8.3,,143560,
64.TheDarkTower(2017),5.6,34,142406,$50.70M
65.Annabelle:Creation(2017),6.5,62,142127,$102.09M
66.TheBigSick(2017),7.5,86,139707,$42.87M
67.PhantomThread(2017),7.4,90,138818,$21.02M
68.IronFist(2017–2018),6.4,,135435,
69.TheBossBaby(2017),6.3,50,134377,$175.00M
70.TheMarvelousMrs.Maisel(2017–2023),8.7,,132362,
71.TheSinner(2017–2021),7.9,,131826,
72.GoodTime(2017),7.3,80,131527,$2.03M
73.WhatHappenedtoMonday(2017),6.8,47,128980,
74.T2Trainspotting(2017),7.2,67,128954,$2.40M
75.StarTrek:Discovery(2017–2024),7.1,,128189,
76.Okja(2017),7.3,75,127274,
77.Gifted(2017),7.6,60,123844,$24.80M
78.YouWereNeverReallyHere(2017),6.7,84,123530,$2.52M
79.TheFloridaProject(2017),7.6,92,120934,$5.90M
80.TheForeigner(I)(2017),7.0,55,118877,$34.39M
81.Gerald'sGame(2017),6.5,77,117539,
82.Downsizing(2017),5.8,63,115951,$24.45M
83.Geostorm(2017),5.3,21,113356,$33.70M
84.TheDefenders(2017),7.2,,112317,
85.PowerRangers(2017),5.9,44,111565,$85.36M
86.Cars3(2017),6.7,59,110228,$152.90M
87.TheRitual(I)(2017),6.3,57,109743,
88.Baahubali2:TheConclusion(2017),8.2,,107837,
89.TheDeathofStalin(2017),7.2,88,107740,$8.04M
90.FiftyShadesDarker(2017),4.6,33,106920,$114.38M
91.TheGoodDoctor(2017–),8.0,,104532,
92.TheBabysitter(I)(2017),6.3,,101121,
93.ItComesatNight(2017),6.2,78,98301,$13.99M
94.Atypical(2017–2021),8.2,,96748,
95.TheCircle(I)(2017),5.3,43,96589,$20.50M
96.xXx:ReturnofXanderCage(2017),5.2,42,94800,$44.90M
97.TheOrville(2017–),8.0,,94293,
98.Legion(2017–2019),8.2,,93949,
99.ShotCaller(2017),7.3,59,91514,
100.GameofThrones(2011–2019)Episode:TheSpoilsofWar(2017),9.7,,91475,
101.Hostiles(2017),7.2,65,90571,$29.82M
102.AmericanGods(2017–2021),7.6,,89687,
103.GoinginStyle(2017),6.6,50,88769,$45.02M
104.AlltheMoneyintheWorld(2017),6.8,72,88033,$25.11M
105.DeathNote(I)(2017),4.6,43,87865,
106.AmericanAssassin(2017),6.2,45,86060,$36.25M
107.Paddington2(2017),7.8,88,85687,$40.44M
108.BigMouth(2017–2024),7.9,,84500,
109.Jigsaw(I)(2017),5.7,39,84055,$38.05M
110.Papillon(I)(2017),7.2,51,80491,$2.34M
111.TheMountainBetweenUs(2017),6.4,48,78318,$30.35M
112.Daddy'sHome2(2017),6.0,30,78221,$104.03M
113.YoungSheldon(2017–),7.6,,76203,
114.AGhostStory(2017),6.8,84,75900,$1.60M
115.ADog'sPurpose(2017),7.2,43,75794,$64.51M
116.Reis(2017),1.0,,73875,
117.OnlytheBrave(2017),7.6,72,73584,$18.34M
118.Godless(2017),8.2,,72880,
119.TheSquare(2017),7.1,73,72873,$1.50M
120.SantaClaritaDiet(2017–2019),7.8,,72276,
121.Castlevania(2017–2021),8.3,,71616,
122.TwinPeaks(2017),8.5,,71428,
123.BrawlinCellBlock99(2017),7.1,79,71181,
124.TheSnowman(2017),5.1,23,68985,$6.67M
125.PitchPerfect3(2017),5.8,40,68336,$104.90M
126.TheEmojiMovie(2017),3.4,12,67985,$86.09M
127.1922(2017),6.2,70,67873,
128.GameofThrones(2011–2019)Episode:TheDragonandtheWolf(2017),9.4,,66770,
129.GameofThrones(2011–2019)Episode:BeyondtheWall(2017),9.0,,66757,
130.ASeriesofUnfortunateEvents(2017–2019),7.8,,64061,
131.Manhunt(II)(2017–2020),8.1,,61885,
132.Idon'tfeelathomeinthisworldanymore.(2017),6.9,75,61487,
133.LovingVincent(2017),7.8,62,60690,$6.74M
134.Ferdinand(2017),6.7,58,60613,$84.41M
135.Anne(2017–2019),8.7,,60233,
136.Jungle(I)(2017),6.7,48,60151,
137.FirstReformed(2017),7.1,85,59852,$3.45M
138.TheBeguiled(2017),6.3,77,59692,$10.58M
139.TheUpside(2017),7.0,46,59591,$108.25M
140.47MetersDown(2017),5.6,52,58444,$44.31M
141.BattleoftheSexes(2017),6.7,73,57734,$12.64M
142.BlackMirror(2011–)Episode:HangtheDJ(2017),8.7,,56868,
143.BlackMirror(2011–)Episode:USSCallister(2017),8.3,,56634,
144.ABadMomsChristmas(2017),5.6,42,55022,$72.11M
145.BeforeIFall(2017),6.4,58,54852,$12.24M
146.TheSpaceBetweenUs(I)(2017),6.4,33,54809,$7.89M
147.Detroit(2017),7.3,77,54724,$16.79M
148.RoughNight(2017),5.2,51,54150,$22.11M
149.GameofThrones(2011–2019)Episode:Dragonstone(2017),8.5,,52974,
150.TotheBone(I)(2017),6.8,64,52416,
151.Icarus(2017),7.9,68,52344,
152.TheMeyerowitzStories(NewandSelected)(2017),6.9,79,52155,
153.Mudbound(2017),7.4,85,51991,
154.CHIPS(2017),6.0,28,49662,$18.60M
155.Flatliners(2017),5.2,27,49291,$16.88M
156.GLOW(2017–2019),8.0,,48745,
157.GameofThrones(2011–2019)Episode:TheQueen'sJustice(2017),9.1,,48685,
158.WarMachine(2017),6.0,56,48626,
159.VikramVedha(2017),8.2,,48105,
160.Raees(2017),6.6,,47715,
161.Stronger(I)(2017),6.9,76,47586,$4.21M
162.BlackMirror(2011–)Episode:BlackMuseum(2017),8.6,,47106,
163.GameofThrones(2011–2019)Episode:Stormborn(2017),8.8,,46394,
164.TheEndless(I)(2017),6.5,80,46324,$0.27M
165.GameofThrones(2011–2019)Episode:Eastwatch(2017),8.7,,46114,
166.Cargo(I)(2017),6.3,65,46037,
167.IngridGoesWest(2017),6.6,71,46011,$3.02M
168.Revenge(II)(2017),6.4,81,45989,$0.10M
169.Suburbicon(2017),5.8,42,45983,$5.78M
170.TheHouse(I)(2017),5.6,30,45777,$25.58M
171.TheZookeeper'sWife(2017),7.0,57,45021,$17.45M
172.Thoroughbreds(2017),6.6,75,44995,$2.83M
173.FistFight(2017),5.6,37,44338,$32.19M
174.Verónica(I)(2017),6.2,,44261,
175.BlackMirror(2011–)Episode:Arkangel(2017),7.3,,43872,
176.BluePlanetII(2017),9.3,,43549,
177.Rings(2017),4.5,25,42059,$27.79M
178.Ayla:TheDaughterofWar(2017),8.3,,41860,
179.TheWife(I)(2017),7.2,77,41453,$9.60M
180.BlackMirror(2011–)Episode:Crocodile(2017),7.3,,41389,
181.Happy!(2017–2019),8.1,,41081,
"182.Everything,Everything(2017)",6.3,52,40951,$34.00M
"183.RomanJ.Israel,Esq.(2017)",6.5,58,40811,$11.96M
184.TimeTrap(2017),6.2,46,40290,
185.Gi-eok-uibam(2017),7.4,,40189,
186.BlackMirror(2011–)Episode:Metalhead(2017),6.6,,39342,
187.CumaliCeber:AllahSeniAlsin(2017),1.0,,39221,
188.GirlsTrip(2017),6.2,71,39199,$115.17M
189.Kidnap(I)(2017),5.9,44,38225,$30.72M
190.TheChosen(2017–),9.3,,37835,
191.TheShack(I)(2017),6.3,32,37783,$57.39M
192.Victoria&Abdul(2017),6.8,58,37276,$22.25M
193.ShingekinoKyojin(2013–2023)Episode:Warrior(2017),9.8,,37269,
194.Unlocked(I)(2017),6.3,46,37251,
195.TheGlassCastle(2017),7.1,56,36605,$17.27M
196.Snatched(2017),4.7,45,36578,$45.83M
197.TheGifted(I)(2017–2019),7.3,,36503,
198.Mersal(2017),7.5,,36336,
199.TheDiscovery(I)(2017),6.2,54,36100,
200.GhostStories(I)(2017),6.4,68,35752,$0.14M
201.Marrowbone(2017),6.7,63,35601,$0.00M
202.AliasGrace(2017),7.7,,35288,
203.Thelma(2017),7.0,74,34787,$0.15M
204.AusdemNichts(2017),7.1,65,34484,$0.32M
205.Nelyubov(2017),7.6,86,34417,$0.57M
206.FantasticBeastsandWheretoFindThem:Newt(2017Video),7.2,,34288,
207.HomeAgain(2017),5.8,41,33938,$27.02M
208.RickandMorty(2013–)Episode:TheRicklantisMixup(2017),9.8,,33737,
209.Disobedience(2017),6.6,74,33606,$3.48M
210.Sleepless(III)(2017),5.6,34,33496,$20.78M
211.Krym(I)(2017),3.6,,33489,
212.God'sOwnCountry(2017),7.6,85,33370,$0.34M
213.BorgMcEnroe(2017),6.9,63,33319,$14.11M
214.IKillGiants(2017),6.1,74,32309,
215.AmericanVandal(2017–2018),8.1,,32022,
216.TigerZindaHai(2017),5.9,,31191,
217.HindiMedium(2017),7.8,,30750,
218.TheGoodFight(2017–2022),8.4,,30582,
219.TheDeuce(2017–2019),8.1,,30511,
220.CaptainUnderpants:TheFirstEpicMovie(2017),6.2,69,30467,$73.92M
221.Table19(2017),5.8,40,30011,$3.61M
222.WhattheHealth(2017),7.2,,29976,
223.WonderWheel(2017),6.2,45,29876,$1.40M
224.SEALTeam(2017–),7.8,,29616,
225.Creep2(2017),6.4,75,29516,
226.TheCurrentWar(2017),6.5,55,29235,
227.Counterpart(2017–2019),8.0,,29064,
228.Teströléslélekröl(2017),7.5,77,28878,
229.TheWall(II)(2017),6.2,57,28864,$1.80M
230.StrangerThings(2016–2024)Episode:ChapterSeven:TheLostSister(2017),6.1,,28837,
231.BlackClover(2017–2021),8.3,,28746,
232.GoodbyeChristopherRobin(2017),7.1,54,28710,$1.74M
233.TheBookofHenry(2017),6.6,31,28659,$4.22M
234.Sherlock(2010–2017)Episode:TheFinalProblem(2017),8.2,,28372,
"235.AsAbove,SoBelow:TheUnderworldof'JohnWick'(2017Video)",7.7,,28283,
236.S.W.A.T.(2017–2023),7.2,,28245,
237.TheLegoNinjagoMovie(2017),6.0,55,28222,$59.28M
238.Kaabil(2017),7.1,,28128,
239.Sherlock(2010–2017)Episode:TheLyingDetective(2017),9.1,,28113,
240.Elbar(2017),6.3,,28063,
241.SecretSuperstar(2017),7.8,,27921,
242.Inhumans(2017),4.9,,27869,
243.Den12.mann(2017),7.3,70,27821,
244.JusticeLeagueDark(2017Video),7.0,,27797,
245.Taeksiwoonjunsa(2017),7.9,69,27782,$1.53M
246.CultofChucky(2017),5.2,69,27607,
247.ProfessorMarstonandtheWonderWomen(2017),7.0,68,27565,$1.59M
248.Runaways(2017–2019),6.9,,27520,
